oid	friendly_name	category	source
0.4.0.2231.1.0	tslType-list-of-lists	tsl-type	ETSI-TS-119-612
0.4.0.2231.1.1	tslType-generic	tsl-type	ETSI-TS-119-612
0.4.0.2231.1.2	tslType-schemes	tsl-type	ETSI-TS-119-612
0.4.0.2231.1.3	tslType-EUlistofthelists	tsl-type	ETSI-TS-119-612
0.4.0.2231.1.4	tslType-EUgeneric	tsl-type	ETSI-TS-119-612
0.4.0.2231.3	tslSchemeRule	tsl	ETSI-TS-119-612
0.4.0.2231.3.0	tslSchemeRule-common	tsl	ETSI-TS-119-612
0.4.0.2231.3.1	tslSchemeRule-EUcommon	tsl	ETSI-TS-119-612
0.4.0.2231.3.2	tslSchemeRule-EUlistofthelists	tsl	ETSI-TS-119-612
